text,closed,all,min,max,date,dow,tweet_id,timestamp
"MONDAY, January 19, 2015 NO JURORS will be needed, the courts are CLOSED.",1,0.0,0,0,2015-01-19T00:00:00Z,Monday,557319106576527361,2015-01-19 23:30:04 +0000
"MONDAY, January 19, 2015 NO JURORS will be needed, the courts are CLOSED.",1,0.0,0,0,2015-01-19T00:00:00Z,Monday,556956717691703296,2015-01-18 23:30:03 +0000
"FRIDAY, January 16, 2015 jurors with summonses numbered 8000 through and including 8700 are to report for jury service.",0,0.0,8000,8700,2015-01-16T00:00:00Z,Friday,555869552374849537,2015-01-15 23:30:03 +0000
"THURSDAY, January 15, 2015 jurors with summonses numbered 6000 through and including 7200 are to report for jury service.",0,0.0,6000,7200,2015-01-15T00:00:00Z,Thursday,555507165960880128,2015-01-14 23:30:03 +0000
"WEDNESDAY, January 14, 2015 jurors with summonses numbered 4000 through and including 5200 are to report for jury service.",0,0.0,4000,5200,2015-01-14T00:00:00Z,Wednesday,555144780465074176,2015-01-13 23:30:04 +0000
"TUESDAY, January 13, 2015 jurors with summonses numbered 2000 through and including 3000 are to report for jury service.",0,0.0,2000,3000,2015-01-13T00:00:00Z,Tuesday,554782389915123712,2015-01-12 23:30:03 +0000
"MONDAY, January 12, 2015 jurors with summonses numbered 1 through and including 1200 are to report for jury service.",0,0.0,1,1200,2015-01-12T00:00:00Z,Monday,554420004746444800,2015-01-11 23:30:04 +0000
"FRIDAY, January 9, 2015 jurors with summonses numbered 8000 through and including 9200 are to report for jury service.",0,0.0,8000,9200,2015-01-09T00:00:00Z,Friday,553332840155594754,2015-01-08 23:30:04 +0000
"THURSDAY, January 8, 2015 jurors with summonses numbered 6000 through and including 7000 are to report for jury service.",0,0.0,6000,7000,2015-01-08T00:00:00Z,Thursday,552970452420014080,2015-01-07 23:30:04 +0000
"WEDNESDAY, January 7, 2015 jurors with summonses numbered 4000 through and including 4900 are to report for jury service.",0,0.0,4000,4900,2015-01-07T00:00:00Z,Wednesday,552608063522623488,2015-01-06 23:30:03 +0000
